name,date,author,risk_score,severity,tactic,technique,subtechnique
Bat files observed in HTTP Traffic on Unusual Port ,2024/10/02,['Sudharsan Narasimhan'],65,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.003 - Windows Command Shell
PowerShell Invoke-WebRequest Downloading .BAT File,2024/10/02,['Sudharsan Narasimhan'],50,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Web Scanner Activity - Nmap and Nikto,2024/08/02,['Sudharsan Narasimhan'],25,low,Discovery,T1046 - Network Service Discovery,none - none
Excessive Web Traffic,2024/10/02,['Sudharsan Narasimhan'],1,low,Discovery,T1046 - Network Service Discovery,none - none
Suspicious File Written to Temp Directory,2024/10/02,['Sudharsan Narasimhan'],75,high,Discovery; Discovery,T1082 - System Information Discovery; T1217 - Browser Information Discovery,none - none; none - none
Potential MSF PowerShell Payload Observed,2024/09/02,['Sudharsan Narasimhan'],50,high,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Data Archive for Potential Exfil,2024/08/02,['Sudharsan Narasimhan'],60,medium,Collection,T1074 - Data Staged,T1074.001 - Local Data Staging
Data Exfiltration Observed via FTP,2024/08/02,['Sudharsan Narasimhan'],85,high,Exfiltration,T1020 - Automated Exfiltration,none - none
PowerShell Execution via a BAT File,2024/09/02,['Sudharsan Narasimhan'],50,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Suspicious File Added to Registry,2024/09/02,['Sudharsan Narasimhan'],75,high,Persistence,T1547 - Boot or Logon Autostart Execution,T1547.001 - Registry Run Keys / Startup Folder
